Requirement,Ground Truth,Response
"{'all the time a sensor gathers information, the house collapses and the engine stops'}",G(engine_stops & house_collapses & sensor_gathers_information),G(sensor_gathers_information -> (house_collapses & engine_stops))
"{'after both an elevator rises and the bar is closing, it is going to happen that the engine starts and the engine stops'}",G((bar_is_closing & elevator_rises) -> F(engine_starts & engine_stops)),F((elevator_rises & bar_is_closing) -> F(engine_starts & engine_stops))
{'( prop_1 ) until at any time ( prop_2 )'},prop_1 U Fprop_2,prop_1 U prop_2
"{'finally, both the motorbike has stopped and the elevator rises after the bar is closing or a bridge closes'}",G((bar_is_closing | bridge_closes) -> F(elevator_rises & motorbike_has_stopped)),F((bar_is_closing | bridge_closes) -> (motorbike_has_stopped & elevator_rises))
"{'in the future either an elevator rises or a car stops and, at a certain moment either the brake is pressed or a semaphore is green afterwards'}",G!(car_stops | elevator_rises) | F((car_stops | elevator_rises) & F(brake_is_pressed | semaphore_is_green)),F(elevator_rises | (car_stops & F(brake_is_pressed | X semaphore_is_green)))
"{'sooner or later a car starts or the semaphore is broken and, it will happen that both the engine stops and the brake is pressed afterwards'}",G!(car_starts | semaphore_is_broken) | F((car_starts | semaphore_is_broken) & F(brake_is_pressed & engine_stops)),F(car_starts | semaphore_is_broken) & F(engine_stops & X brake_is_pressed)
"{'first, finally, both the table is brown and the bar is up, and then, sooner or later either the manager handles requests or the motorbike has started'}",G!(bar_is_up & table_is_brown) | F(bar_is_up & table_is_brown & F(manager_handles_requests | motorbike_has_started)),F(table_is_brown & bar_is_up) & F(manager_handles_requests | motorbike_has_started)
{'if either a table is brown or the engine stops then it will happen that both the manager handles requests and a semaphore is broken'},G((engine_stops | table_is_brown) -> F(manager_handles_requests & semaphore_is_broken)),(table_is_brown | engine_stops) -> F(manager_handles_requests & semaphore_is_broken)
"{'first, in the future either the bar is up or an elevator is open, and then, finally, an elevator falls or the bar is up'}",G!(bar_is_up | elevator_is_open) | F((bar_is_up | elevator_is_open) & F(bar_is_up | elevator_falls)),F(bar_is_up | elevator_is_open) & F(elevator_falls | bar_is_up)
"{'Globally , in case that ( prop_1 ) or the scenario that ( prop_2 ) then the following condition is true : right away ( prop_3 ) or at the same time ( prop_4 ) .'}",G((prop_1 | prop_2) -> (prop_3 | prop_4)),G((prop_1 | prop_2) -> (X prop_3 | prop_4))
"{'In case that the transition action that ( prop_1 ) is detected , then the following condition holds : ( prop_2 ) and starting without any delay the transition action that ( prop_3 ) should take place .'}",G(prop_1 -> (prop_2 & prop_3)),G(prop_1 -> (prop_2 & X prop_3))
"{'as the train derails or the train has been launched, sooner or later either a semaphore is green or the engine stops'}",G((train_derails | train_has_been_launched) -> F(engine_stops | semaphore_is_green)),(train_derails | train_has_been_launched) -> F(semaphore_is_green | engine_stops)
{'sooner or later either the engine starts or the bar has to be repaired after either the engine breaks or a train has arrived'},G((engine_breaks | train_has_arrived) -> F(bar_has_to_be_repaired | engine_starts)),F((engine_starts | ( (engine_breaks | train_has_arrived) -> X bar_has_to_be_repaired )))
{'( prop_1 ) and at any time ( prop_2 )'},prop_1 & Fprop_2,prop_1 & G prop_2
"{'all the time the motorbike has stopped, the semaphore is green and the constructor creates instances'}",G(constructor_creates_instances & motorbike_has_stopped & semaphore_is_green),G(motorbike_has_stopped -> (semaphore_is_green & constructor_creates_instances))
{'go through the green or red_room and enter the blue_room'},F((green_room | red_room) & Fblue_room),((green_room | red_room) U blue_room)
{'whenever ( prop_1 ) or repeatedly ( prop_2 )'},F(prop_1 | GFprop_2),G(prop_1 | G prop_2)
{'It is always the case that in case that ( prop_1 ) then in response ( prop_2 ) .'},G(prop_1 -> prop_2),G(prop_1 -> F prop_2)
"{'it will happen that both a train derails and a house is built and, finally, the motorbike catches fire and the engine starts afterwards'}",G!(house_is_built & train_derails) | F(house_is_built & train_derails & F(engine_starts & motorbike_catches_fire)),F((train_derails & house_is_built) & F(motorbike_catches_fire & X engine_starts))
"{'after a bridge opens and the brake is pressed, at some point in time the semaphore is red and the elevator falls'}",G((brake_is_pressed & bridge_opens) -> F(elevator_falls & semaphore_is_red)),F((bridge_opens & brake_is_pressed) -> F(semaphore_is_red & elevator_falls))
{'at the yellow area through green area'},F(green_room & Fyellow_room),F(green_room U yellow_room)
{'if either an elevator is open or the bar is closing then under no condition both the bar has to be repaired and the engine stops'},G((bar_is_closing | elevator_is_open) -> G!(bar_has_to_be_repaired & engine_stops)),(elevator_is_open | bar_is_closing) -> G !(bar_has_to_be_repaired & engine_stops)
"{'the table is old implies that as a table has been moved, it will happen that the car starts'}",G(table_is_old -> G(table_has_been_moved -> Fcar_starts)),table_is_old -> (table_has_been_moved & F car_starts)
{'whenever venture flag and whenever venture flag'},"F""venture(flag)""","G(""venture(flag)"") -> G(""venture(flag)"")"
"{'Globally , in case that ( prop_2 ) then the following condition holds : ( prop_3 ) , and before this ( prop_1 ) .'}",G(prop_2 -> (prop_3 U prop_1)),G(prop_2 -> (prop_1 U prop_3))
{'if either a table has been moved or the train stops then it will happen that either the brake is pressed or the motorbike catches fire'},G((table_has_been_moved | train_stops) -> F(brake_is_pressed | motorbike_catches_fire)),(table_has_been_moved | train_stops) -> F (brake_is_pressed | motorbike_catches_fire)
{'each time a train stops then at some point the semaphore is yellow after the train has been launched'},G(train_stops -> G(train_has_been_launched -> Fsemaphore_is_yellow)),G(train_stops -> F(train_has_been_launched & F semaphore_is_yellow))
"{'as either the semaphore is green or the engine stops, it is going to happen that both an elevator rises and the bridge opens'}",G((engine_stops | semaphore_is_green) -> F(bridge_opens & elevator_rises)),(semaphore_is_green | engine_stops) -> F(elevator_rises & bridge_opens)
"{'it is going to happen that the engine stops or a train is crossing and, in the future either a semaphore is red or the engine stops afterwards'}",G!(engine_stops | train_is_crossing) | F((engine_stops | train_is_crossing) & F(engine_stops | semaphore_is_red)),F(engine_stops | train_is_crossing) & F(semaphore_is_red | X engine_stops)
"{'a car starts and, as a consequence, every time the brake is pressed then eventually, the sensor retrieves data'}",G(car_starts -> G(brake_is_pressed -> Fsensor_retrieves_data)),car_starts & G(brake_is_pressed -> F sensor_retrieves_data)
"{'first, at some point in time the car enters or the bar has to be repaired, and then, at a certain moment a train stops and an elevator is blocked'}",G!(bar_has_to_be_repaired | car_enters) | F((bar_has_to_be_repaired | car_enters) & F(elevator_is_blocked & train_stops)),F(car_enters | bar_has_to_be_repaired) & F(F(train_stops & elevator_is_blocked))
{'at any time the bar has to be repaired or the bar is up after a semaphore is green and an elevator falls'},G((elevator_falls & semaphore_is_green) -> G(bar_has_to_be_repaired | bar_is_up)),G((semaphore_is_green & elevator_falls) -> (bar_has_to_be_repaired | bar_is_up))
"{'first, at some point the engine stops or a manager collect claims, and then, at a certain moment the constructor creates instances or a motorbike is driven'}",G!(engine_stops | manager_collect_claims) | F((engine_stops | manager_collect_claims) & F(constructor_creates_instances | motorbike_is_driven)),F((engine_stops | manager_collect_claims) & F(constructor_creates_instances | motorbike_is_driven))
{'it is going to happen that the semaphore is broken and a train is crossing after both the engine stops and a sensor captures data'},G((engine_stops & sensor_captures_data) -> F(semaphore_is_broken & train_is_crossing)),F((semaphore_is_broken & X(train_is_crossing)) & (engine_stops & sensor_captures_data))
"{'sooner or later the constructor creates instances or a table is old and, at a certain moment a manager handles requests or a motorbike has started afterwards'}",G!(constructor_creates_instances | table_is_old) | F((constructor_creates_instances | table_is_old) & F(manager_handles_requests | motorbike_has_started)),F(constructor_creates_instances | (table_is_old & F(manager_handles_requests | X motorbike_has_started)))
{'whenever ( prop_1 ) or at some time ( prop_2 )'},F(prop_1 | Fprop_2),G(prop_1) | F(prop_2)
"{'it is going to happen that both the train has arrived and the bar is down and, eventually, either a car enters or a motorbike is driven afterwards'}",G!(bar_is_down & train_has_arrived) | F(bar_is_down & train_has_arrived & F(car_enters | motorbike_is_driven)),F((train_has_arrived & bar_is_down) & F(car_enters | X motorbike_is_driven))
{'a constructor creates instances involves that always when the semaphore is yellow then sooner or later the engine starts'},G(constructor_creates_instances -> G(semaphore_is_yellow -> Fengine_starts)),constructor_creates_instances -> G(semaphore_is_yellow -> F engine_starts)
"{'after either the table is old or a train has arrived, it will happen that both the elevator rises and a train is crossing'}",G((table_is_old | train_has_arrived) -> F(elevator_rises & train_is_crossing)),F((table_is_old | train_has_arrived) -> F(elevator_rises & train_is_crossing))
"{'Whenever neither go_home nor communicate the injured_victim holds, photo unstable_beam eventually holds.'}","G(!(""communicate(injured_victim)"" & go_home) -> F""photo(unstable_beam)"")","G(!(go_home | ""communicate(injured_victim)"") -> F ""photo(unstable_beam)"")"
"{'first, at some point in time a train derails and the manager handles requests, and then, at some point both a table is brown and the bar is closing'}",G!(manager_handles_requests & train_derails) | F(manager_handles_requests & train_derails & F(bar_is_closing & table_is_brown)),F((train_derails & manager_handles_requests) & F(table_is_brown & bar_is_closing))
"{'as the engine breaks or the bar is closing, finally, either the sensor retrieves data or the bridge closes'}",G((bar_is_closing | engine_breaks) -> F(bridge_closes | sensor_retrieves_data)),(engine_breaks | bar_is_closing) -> F(sensor_retrieves_data | bridge_closes)
"{'Go home should always hold, with at most a two-step grace period for recovery.'}",!G!(go_home & Xgo_home),"G(F[0,2] go_home)"
"{'after a sensor captures data and a semaphore is yellow, at a certain moment the bar is down or a semaphore is green'}",G((semaphore_is_yellow & sensor_captures_data) -> F(bar_is_down | semaphore_is_green)),F((sensor_captures_data & semaphore_is_yellow) -> F(bar_is_down | semaphore_is_green))
"{'if both the engine breaks and the semaphore is yellow then eventually, the semaphore is red or the engine stops'}",G((engine_breaks & semaphore_is_yellow) -> F(engine_stops | semaphore_is_red)),(engine_breaks & semaphore_is_yellow) -> F (semaphore_is_red | engine_stops)
"{'it should not happen that either the bar is up, a semaphore is green or a manager collect claims'}",G!(bar_is_up | manager_collect_claims | semaphore_is_green),!(bar_is_up | semaphore_is_green | manager_collect_claims)
"{'after either the elevator rises or an elevator is blocked, at a certain moment an elevator rises and a bridge opens'}",G((elevator_is_blocked | elevator_rises) -> F(bridge_opens & elevator_rises)),F((elevator_rises | elevator_is_blocked) -> F(elevator_rises & bridge_opens))
"{'at some point both a house is open and the elevator rises and, it will happen that the escalator moves or the manager collect claims afterwards'}",G!(elevator_rises & house_is_open) | F(elevator_rises & house_is_open & F(escalator_moves | manager_collect_claims)),F(house_is_open & elevator_rises) & F(escalator_moves | X manager_collect_claims)
"{'first, at a certain moment the table is brown or a motorbike has started, and then, in the future both the brake is pressed and the motorbike has stopped'}",G!(motorbike_has_started | table_is_brown) | F((motorbike_has_started | table_is_brown) & F(brake_is_pressed & motorbike_has_stopped)),F((table_is_brown | motorbike_has_started) & F(brake_is_pressed & motorbike_has_stopped))
{'at some point the brake is pressed and the elevator is open after both a manager collect claims and a train is crossing'},G((manager_collect_claims & train_is_crossing) -> F(brake_is_pressed & elevator_is_open)),F((manager_collect_claims & train_is_crossing) -> F(brake_is_pressed & elevator_is_open))
{'it is going to happen that a bridge opens and the bridge closes after the car starts and the table is brown'},G((car_starts & table_is_brown) -> F(bridge_closes & bridge_opens)),F(bridge_opens & F(car_starts & table_is_brown -> X bridge_closes))
{'the robot has to go through the red or yellow_room to get to the green_room'},F((red_room | yellow_room) & Fgreen_room),(!green_room U (red_room | yellow_room))
{'if both the bar has to be repaired and a sensor gathers information then at some point in time either the elevator is open or the semaphore is green'},G((bar_has_to_be_repaired & sensor_gathers_information) -> F(elevator_is_open | semaphore_is_green)),(bar_has_to_be_repaired & sensor_gathers_information) -> F(elevator_is_open | semaphore_is_green)
"{'every time a semaphore is broken, a table is brown and a train stops'}",G(semaphore_is_broken & table_is_brown & train_stops),G(semaphore_is_broken -> (table_is_brown & train_stops))
"{'It is always the case that when the event that ( prop_1 ) takes place , then all of the following conditions hold : without any delay ( prop_3 ) , and at the same time point ( prop_2 ) .'}",G(prop_1 -> (prop_2 & prop_3)),G(prop_1 -> (X prop_3 & prop_2))
"{'after both the bar is closing and the train is crossing, at a certain moment either a train derails or the engine starts'}",G((bar_is_closing & train_is_crossing) -> F(engine_starts | train_derails)),F((bar_is_closing & train_is_crossing) & F(train_derails | engine_starts))
"{'If idle holds and get_help holds next, then deliver the fork to the shelf holds in the step after that.'}","G((idle & Xget_help) -> XX""deliver(fork,shelf)"")","(idle & X get_help) -> XX ""deliver(fork,shelf)"""
"{'as both the bar is closing and the train is crossing, it will happen that the manager collect claims and the bar is up'}",G((bar_is_closing & train_is_crossing) -> F(bar_is_up & manager_collect_claims)),(bar_is_closing & train_is_crossing) -> F(manager_collect_claims & bar_is_up)
"{'in any case a table has been moved, the bar is up and the elevator rises'}",G(bar_is_up & elevator_rises & table_has_been_moved),G(table_has_been_moved -> (bar_is_up & elevator_rises))
"{'each time the engine starts then after a motorbike catches fire, it will happen that the car starts'}",G(engine_starts -> G(motorbike_catches_fire -> Fcar_starts)),G(engine_starts -> F(motorbike_catches_fire -> F car_starts))
"{'as a constructor instantiate objects and an elevator rises, at some point either a sensor gathers information or a table has been moved'}",G((constructor_instantiate_objects & elevator_rises) -> F(sensor_gathers_information | table_has_been_moved)),(constructor_instantiate_objects & elevator_rises) -> F(sensor_gathers_information | table_has_been_moved)
"{'If (prop_1) and (prop_2) at the same time, then (prop_3) should not happen .'}",(prop_1 & prop_2) -> !prop_3,G((prop_1 & prop_2) -> !prop_3)
{'each time a motorbike catches fire then at a certain moment a train stops after the elevator falls'},G(motorbike_catches_fire -> G(elevator_falls -> Ftrain_stops)),G(motorbike_catches_fire -> F(elevator_falls & F train_stops))
{'all the time both a manager collect claims and the escalator is blocked after both the bar is down and the semaphore is red'},G((bar_is_down & semaphore_is_red) -> G(escalator_is_blocked & manager_collect_claims)),G((bar_is_down & semaphore_is_red) -> (manager_collect_claims & escalator_is_blocked))
"{'Globally , while the event that ( prop_2 ) does not occur , and ( prop_3 ) , then all of the following conditions are true : in the future before the simulation ends without interruption ( prop_1 ) .'}",G((prop_2 & prop_3) -> Gprop_1),G((!prop_2 & prop_3) -> F prop_1)
"{'In case that the transition action that ( prop_3 ) gets detected then all of the following conditions hold : ( prop_2 ) , and the transition action that ( prop_1 ) is observed right away .'}",G(prop_3 -> (prop_1 & prop_2)),G(prop_3 -> (prop_2 & X prop_1))
{'It is always the case that if ( prop_1 ) or ( prop_2 ) then all of the following conditions are true : at a certain time instant in the future the event that ( prop_3 ) must not happen for every time point during the subsequent 13 to 16 time units .'},G((prop_1 | prop_2) -> FGprop_3),G((prop_1 | prop_2) -> F(X(G( !prop_3 ))))
"{'a motorbike has stopped and, as a consequence, whenever an elevator rises then at a certain moment the car enters'}",G(motorbike_has_stopped -> G(elevator_rises -> Fcar_enters)),motorbike_has_stopped & G(elevator_rises -> F car_enters)
{'the elevator rises implies that whenever an elevator is blocked then it will happen that a table has been moved'},G(elevator_rises -> G(elevator_is_blocked -> Ftable_has_been_moved)),elevator_rises -> G(elevator_is_blocked -> F table_has_been_moved)
"{'if the sensor retrieves data and the elevator falls then finally, the table has been moved and the escalator is blocked'}",G((elevator_falls & sensor_retrieves_data) -> F(escalator_is_blocked & table_has_been_moved)),(sensor_retrieves_data & elevator_falls) -> F (table_has_been_moved & escalator_is_blocked)
"{'Continuously revisit mall_5, and ensure that each time you eventually pickup crate_8 and deliver it to office_6'}",GF(mall_5 & F(p_crate_8 & F(office_6 & pd))),GF(mall_5 & F(p_crate_8 & F office_6))
{'In the case the event that ( prop_2 ) takes place or the transition action that ( prop_1 ) gets detected then ( prop_3 ) .'},G((prop_1 | prop_2) -> prop_3),(prop_2 | prop_1) -> prop_3
"{'if the semaphore is green and the elevator falls then always, both a bridge opens and a constructor creates instances'}",G((elevator_falls & semaphore_is_green) -> G(bridge_opens & constructor_creates_instances)),(semaphore_is_green & elevator_falls) -> G(bridge_opens & constructor_creates_instances)
{'never ( prop_1 ) and at some time ( prop_2 )'},G(!prop_1 & Fprop_2),G(!prop_1) & F(prop_2)
{'If the event that ( prop_1 ) happens or ( prop_2 ) then ( prop_3 ) .'},G((prop_1 | prop_2) -> prop_3),(prop_1 | prop_2) -> prop_3
"{'after the car stops and an elevator is blocked, it will happen that either the semaphore is broken or the bar has to be repaired'}",G((car_stops & elevator_is_blocked) -> F(bar_has_to_be_repaired | semaphore_is_broken)),F((car_stops & elevator_is_blocked) -> F(semaphore_is_broken | bar_has_to_be_repaired))
"{'each time the train stops then as a car enters, finally, the house is open'}",G(train_stops -> G(car_enters -> Fhouse_is_open)),G((train_stops & car_enters) -> F house_is_open)
"{'first, finally, both the sensor retrieves data and the train is crossing, and then, it will happen that either the bar has to be repaired or the table is old'}",G!(sensor_retrieves_data & train_is_crossing) | F(sensor_retrieves_data & train_is_crossing & F(bar_has_to_be_repaired | table_is_old)),F((sensor_retrieves_data & train_is_crossing) & F(bar_has_to_be_repaired | table_is_old))
"{'at some point in time either the constructor creates instances or a table is old and, at some point both the bar has to be repaired and the car stops afterwards'}",G!(constructor_creates_instances | table_is_old) | F((constructor_creates_instances | table_is_old) & F(bar_has_to_be_repaired & car_stops)),F(constructor_creates_instances | table_is_old) & F(bar_has_to_be_repaired & X car_stops)
"{'as a house is open and a sensor retrieves data, at some point a train derails or a train has been launched'}",G((house_is_open & sensor_retrieves_data) -> F(train_derails | train_has_been_launched)),(house_is_open & sensor_retrieves_data) -> F(train_derails | train_has_been_launched)
{'at some point the engine starts and the semaphore is broken after either the sensor retrieves data or a car enters'},G((car_enters | sensor_retrieves_data) -> F(engine_starts & semaphore_is_broken)),F((sensor_retrieves_data | car_enters) -> F(engine_starts & semaphore_is_broken))
{'whenever move_past trash can or collect pear'},"""collect(pear)"" | F""move_past(trash_can)""","G((""move_past(trash_can)"" | ""collect(pear)"") -> (""move_past(trash_can)"" | ""collect(pear)""))"
{'at some point both a sensor retrieves data and the sensor captures data after both the brake is pressed and a semaphore is broken'},G((brake_is_pressed & semaphore_is_broken) -> F(sensor_captures_data & sensor_retrieves_data)),F((sensor_retrieves_data & sensor_captures_data) & F(brake_is_pressed & semaphore_is_broken))
{'follow the green_room to the red_room'},F(green_room & Fred_room),green_room U red_room
{'if either a semaphore is yellow or a motorbike has stopped then at a certain moment both the engine stops and a sensor retrieves data'},G((motorbike_has_stopped | semaphore_is_yellow) -> F(engine_stops & sensor_retrieves_data)),(semaphore_is_yellow | motorbike_has_stopped) -> F(engine_stops & sensor_retrieves_data)
{'Every search the toaster is directly followed by standing by in the next step.'},"G(""search(toaster)"" -> Xidle)","G(""search(toaster)"" -> X standing_by)"
"{'Globally , everytime when the transition action that ( prop_3 ) gets observed then without any delay the event that ( prop_1 ) will get detected , or right away ( prop_2 ) .'}",G(prop_3 -> (prop_1 | prop_2)),G(prop_3 -> X(prop_1 | prop_2))
{'if either a car starts or a train derails then it will happen that either the semaphore is green or the engine stops'},G((car_starts | train_derails) -> F(engine_stops | semaphore_is_green)),(car_starts | train_derails) -> F (semaphore_is_green | engine_stops)
"{'the escalator moves and, as a consequence, as an elevator falls, at some point in time the semaphore is red'}",G(escalator_moves -> G(elevator_falls -> Fsemaphore_is_red)),(escalator_moves & (elevator_falls -> F semaphore_is_red))
"{'if a table is brown and the escalator speeds up then finally, a sensor retrieves data and the elevator falls'}",G((escalator_speeds_up & table_is_brown) -> F(elevator_falls & sensor_retrieves_data)),(table_is_brown & escalator_speeds_up) -> F (sensor_retrieves_data & elevator_falls)
"{'If ( prop_1 ) then ( prop_3 ) happens and also ( prop_2 ) , is equivalent to ( prop_4 ) .'}",prop_4 <-> (prop_2 & (prop_1 -> prop_3)),((prop_1 -> (prop_3 & prop_2)) <-> prop_4)
{'( prop_1 ) and at any time ( prop_2 )'},prop_1 & Fprop_2,prop_1 & G prop_2
"{'as a train is crossing and the engine stops, eventually, a semaphore is yellow'}",G((engine_stops & train_is_crossing) -> Fsemaphore_is_yellow),(train_is_crossing & engine_stops) -> F semaphore_is_yellow
{'if both a manager collect claims and the constructor instantiate objects then it is going to happen that both the train derails and a house is built'},G((constructor_instantiate_objects & manager_collect_claims) -> F(house_is_built & train_derails)),(manager_collect_claims & constructor_instantiate_objects) -> F(train_derails & house_is_built)
"{'the engine starts implies that as the elevator rises, finally, a motorbike has stopped'}",G(engine_starts -> G(elevator_rises -> Fmotorbike_has_stopped)),engine_starts -> (elevator_rises -> F motorbike_has_stopped)
{'it is going to happen that a sensor captures data and the engine stops after either the car stops or a table has been moved'},G((car_stops | table_has_been_moved) -> F(engine_stops & sensor_captures_data)),F((car_stops | table_has_been_moved) -> F(sensor_captures_data & engine_stops))
{'enter any room that isn t blue to end up in the yellow_room'},Fyellow_room & G!blue_room,(!blue_room) -> F yellow_room
"{'if when possible get_close flag , travel_to tree'}","F""get_close(flag)"" -> ""travel_to(tree)""","G(""get_close(flag)"" -> F ""travel_to(tree)"")"
{'always either the brake is released or a train has been launched implies that it will not happen that both the house collapses and the semaphore is red'},G((brake_is_released | train_has_been_launched) -> G!(house_collapses & semaphore_is_red)),G((brake_is_released | train_has_been_launched) -> !(house_collapses & semaphore_is_red))
"{'at a certain moment either a train stops or the motorbike has stopped and, it will happen that either the bridge closes or a semaphore is broken afterwards'}",G!(motorbike_has_stopped | train_stops) | F((motorbike_has_stopped | train_stops) & F(bridge_closes | semaphore_is_broken)),((train_stops | motorbike_has_stopped) & F(bridge_closes | X semaphore_is_broken))
"{'after either a bridge closes or the elevator is blocked, at a certain moment the bar has to be repaired or the elevator rises'}",G((bridge_closes | elevator_is_blocked) -> F(bar_has_to_be_repaired | elevator_rises)),(bridge_closes | elevator_is_blocked) -> F (bar_has_to_be_repaired | elevator_rises)
"{'as both the car enters and a constructor instantiate objects, it will happen that both a manager collect claims and the bar is up'}",G((car_enters & constructor_instantiate_objects) -> F(bar_is_up & manager_collect_claims)),(car_enters & constructor_instantiate_objects) -> F(manager_collect_claims & bar_is_up)
"{'In the case the event that ( prop_2 ) gets detected , or ( prop_1 ) , then all of the following conditions are true : ( prop_4 ) or ( prop_3 ) .'}",G((prop_1 | prop_2) -> (prop_3 | prop_4)),(prop_2 | prop_1) -> (prop_4 | prop_3)
"{'If search the handbag ever holds, get_help must have held beforehand.'}","F""search(handbag)"" -> (!""search(handbag)"" U (get_help & !""search(handbag)""))","G(""search(handbag)"" -> (F ""search(handbag)"" -> (get_help U ""search(handbag)"")) )"
"{'While ( prop_2 ) then all of the following conditions are true : at once ( prop_3 ) , or immediately ( prop_1 ) .'}",G(prop_2 -> (prop_1 | prop_3)),G(prop_2 -> (prop_3 | X prop_1))
"{'In the case ( prop_3 ) , and ( prop_1 ) , then all of the following conditions are true : there finally exists a certain moment in the future before the end of the execution , at which ( prop_2 ) .'}",G((prop_1 & prop_3) -> FGprop_2),(prop_3 & prop_1) -> F prop_2
"{'If it is not the case that (prop_1), then it must be equal to the case that (prop_2) is equivalent to (prop_3) .'}",!prop_1 <-> (prop_2 <-> prop_3),(!prop_1) -> (prop_2 <-> prop_3)
"{'after either a motorbike is driven or an elevator is open, it is going to happen that the motorbike has stopped and a train is crossing'}",G((elevator_is_open | motorbike_is_driven) -> F(motorbike_has_stopped & train_is_crossing)),F((motorbike_is_driven | elevator_is_open) & F(motorbike_has_stopped & train_is_crossing))
{'in the future both the motorbike falls down and the constructor creates instances after the train is crossing and the elevator rises'},G((elevator_rises & train_is_crossing) -> F(constructor_creates_instances & motorbike_falls_down)),F((train_is_crossing & elevator_rises) -> (motorbike_falls_down & constructor_creates_instances))
"{'if a constructor instantiate objects and the motorbike has stopped then finally, a train has been launched and the constructor instantiate objects'}",G((constructor_instantiate_objects & motorbike_has_stopped) -> F(constructor_instantiate_objects & train_has_been_launched)),(constructor_instantiate_objects & motorbike_has_stopped) -> F(train_has_been_launched & constructor_instantiate_objects)
{'( prop_1 ) until at any time ( prop_2 )'},prop_1 U Fprop_2,prop_1 U prop_2
"{'at a certain moment the brake is pressed or the bridge closes and, at a certain moment a train has arrived and the bar is down afterwards'}",G!(brake_is_pressed | bridge_closes) | F((brake_is_pressed | bridge_closes) & F(bar_is_down & train_has_arrived)),F(brake_is_pressed | bridge_closes) & F(train_has_arrived & X bar_is_down)
"{'In the case ( prop_3 ) , and ( prop_2 ) , then ( prop_1 ) .'}",G((prop_2 & prop_3) -> prop_1),(prop_3 & prop_2) -> prop_1
"{'in the future the escalator speeds up or a house collapses and, in the future both the table is old and the bar has to be repaired afterwards'}",G!(escalator_speeds_up | house_collapses) | F((escalator_speeds_up | house_collapses) & F(bar_has_to_be_repaired & table_is_old)),(F (escalator_speeds_up | house_collapses)) & F (table_is_old & X bar_has_to_be_repaired)
"{'the train has been launched implies that after the motorbike has stopped, at some point the semaphore is green'}",G(train_has_been_launched -> G(motorbike_has_stopped -> Fsemaphore_is_green)),train_has_been_launched -> G(motorbike_has_stopped -> F semaphore_is_green)
{'only at the green_room by first entering the yellow_room'},F(yellow_room & Fgreen_room),(!green_room U yellow_room) & F green_room
"{""at any time make_way waste basket or don't let_go pear""}","!""let_go(pear)"" | F""make_way(waste_basket)""","G(""make_way(waste_basket)"" | !""let_go(pear)"")"
"{'first, eventually, the engine stops or a constructor instantiate objects, and then, finally, both the motorbike catches fire and a car enters'}",G!(constructor_instantiate_objects | engine_stops) | F((constructor_instantiate_objects | engine_stops) & F(car_enters & motorbike_catches_fire)),F((engine_stops | constructor_instantiate_objects) & F(motorbike_catches_fire & car_enters))
"{'after both the manager collect claims and a motorbike has stopped, finally, the brake is released and the escalator speeds up'}",G((manager_collect_claims & motorbike_has_stopped) -> F(brake_is_released & escalator_speeds_up)),F((manager_collect_claims & motorbike_has_stopped) -> F(brake_is_released & escalator_speeds_up))
{'at any time ( prop_1 ) and at any time ( prop_2 )'},F(prop_1 & Fprop_2),G prop_1 & G prop_2
{'if both the train derails and the constructor instantiate objects then it is going to happen that either a table is old or the train has arrived'},G((constructor_instantiate_objects & train_derails) -> F(table_is_old | train_has_arrived)),(train_derails & constructor_instantiate_objects) -> F(table_is_old | train_has_arrived)
{'at any time ( prop_1 ) or when possible ( prop_2 )'},F(prop_1 | Fprop_2),G(prop_1) | F(prop_2)
{'if the brake is pressed and the train has arrived then sooner or later both the sensor captures data and the engine stops'},G((brake_is_pressed & train_has_arrived) -> F(engine_stops & sensor_captures_data)),(brake_is_pressed & train_has_arrived) -> F(sensor_captures_data & engine_stops)
{'if either a manager handles requests or the escalator is blocked then at some point the semaphore is green and the bar is down'},G((escalator_is_blocked | manager_handles_requests) -> F(bar_is_down & semaphore_is_green)),(manager_handles_requests | escalator_is_blocked) -> F (semaphore_is_green & bar_is_down)
"{'in any case the brake is released, a train derails and the engine starts'}",G(brake_is_released & engine_starts & train_derails),G(brake_is_released -> (train_derails & engine_starts))
"{'If deliver the boat to the loading_dock holds and search the boat holds next, then deliver the dog to the shelf holds in the step after that.'}","G((""deliver(boat,loading_dock)"" & X""search(boat)"") -> XX""deliver(dog,shelf)"")","(""deliver(boat,loading_dock)"" & X ""search(boat)"") -> XX ""deliver(dog,shelf)"""
"{'at some point both an elevator rises and the bar is closing and, in the future either the motorbike has stopped or the motorbike has started afterwards'}",G!(bar_is_closing & elevator_rises) | F(bar_is_closing & elevator_rises & F(motorbike_has_started | motorbike_has_stopped)),F((elevator_rises & bar_is_closing) & F(motorbike_has_stopped | X motorbike_has_started))
"{'first, at a certain moment the bar is closing or a sensor retrieves data, and then, at some point a semaphore is yellow or the bar is up'}",G!(bar_is_closing | sensor_retrieves_data) | F((bar_is_closing | sensor_retrieves_data) & F(bar_is_up | semaphore_is_yellow)),F((bar_is_closing | sensor_retrieves_data) & F(semaphore_is_yellow | bar_is_up))
