original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL
Pick up package 4 from store 2 and place it in house 4;<>(store_2&&<>(p_package_4&&<>(house_4&&pd)));F(store_2 & F(p_package_4 & F(house_4 & pd)));['pd', 'p_package_4', 'house_4', 'store_2'];Pick up p_package_4 from store_2 and place it in house_4;{'pd': 'pd', 'package 4': 'p_package_4', 'house 4': 'house_4', 'store 2': 'store_2'};{'pd': 'ap_0', 'p_package_4': 'ap_1', 'house_4': 'ap_2', 'store_2': 'ap_3'};F(ap_3 & F(ap_1 & F(ap_2 & ap_0)))
Ensure you collect package 4 from store 2 and then put it in house 4;<>(store_2&&<>(p_package_4&&<>(house_4&&pd)));F(store_2 & F(p_package_4 & F(house_4 & pd)));['pd', 'p_package_4', 'house_4', 'store_2'];Ensure you collect p_package_4 from store_2 and then put it in house_4;{'pd': 'pd', 'package 4': 'p_package_4', 'house 4': 'house_4', 'store 2': 'store_2'};{'pd': 'ap_0', 'p_package_4': 'ap_1', 'house_4': 'ap_2', 'store_2': 'ap_3'};F(ap_3 & F(ap_1 & F(ap_2 & ap_0)))
Get package 4 from store 2 and subsequently transport it to house 4;<>(store_2&&<>(p_package_4&&<>(house_4&&pd)));F(store_2 & F(p_package_4 & F(house_4 & pd)));['pd', 'p_package_4', 'house_4', 'store_2'];Get p_package_4 from store_2 and subsequently transport it to house_4;{'pd': 'pd', 'package 4': 'p_package_4', 'house 4': 'house_4', 'store 2': 'store_2'};{'pd': 'ap_0', 'p_package_4': 'ap_1', 'house_4': 'ap_2', 'store_2': 'ap_3'};F(ap_3 & F(ap_1 & F(ap_2 & ap_0)))
Take a picture of statue 6, then go to bench 4 and remain there;<>(statue_6&&photo&&<>(bench_4&&[]bench_4));F(photo & statue_6 & F(bench_4 & Gbench_4));['photo', 'statue_6', 'bench_4'];Take a picture of statue_6, then go to bench_4 and remain there;{'photo': 'photo', 'statue 6': 'statue_6', 'bench 4': 'bench_4'};{'photo': 'ap_0', 'statue_6': 'ap_1', 'bench_4': 'ap_2'};F(ap_0 & ap_1 & F(ap_2 & Gap_2))
Ensure you capture a photo of statue 6 and afterward proceed to bench 4 and stay;<>(statue_6&&photo&&<>(bench_4&&[]bench_4));F(photo & statue_6 & F(bench_4 & Gbench_4));['photo', 'statue_6', 'bench_4'];Ensure you capture a photo of statue_6 and afterward proceed to bench_4 and stay;{'photo': 'photo', 'statue 6': 'statue_6', 'bench 4': 'bench_4'};{'photo': 'ap_0', 'statue_6': 'ap_1', 'bench_4': 'ap_2'};F(ap_0 & ap_1 & F(ap_2 & Gap_2))
Photograph statue 6 and then move to bench 4, staying there continuously;<>(statue_6&&photo&&<>(bench_4&&[]bench_4));F(photo & statue_6 & F(bench_4 & Gbench_4));['photo', 'statue_6', 'bench_4'];Photograph statue_6 and then move to bench_4, staying there continuously;{'photo': 'photo', 'statue 6': 'statue_6', 'bench 4': 'bench_4'};{'photo': 'ap_0', 'statue_6': 'ap_1', 'bench_4': 'ap_2'};F(ap_0 & ap_1 & F(ap_2 & Gap_2))
Take a photo of statue 6 and then go to bench 4 and remain there;<>(statue_6&&photo&&<>(bench_4&&[]bench_4));F(photo & statue_6 & F(bench_4 & Gbench_4));['photo', 'statue_6', 'bench_4'];Take a photo of statue_6 and then go to bench_4 and remain there;{'photo': 'photo', 'statue 6': 'statue_6', 'bench 4': 'bench_4'};{'photo': 'ap_0', 'statue_6': 'ap_1', 'bench_4': 'ap_2'};F(ap_0 & ap_1 & F(ap_2 & Gap_2))
Ensure you repeatedly transport crate 4 from warehouse 3 to store 9, and also periodically visit charger 3;[]<>(warehouse_3&&<>(p_crate_4&&<>(store_9&&pd)))&&[]<>charger_3;GF(warehouse_3 & F(p_crate_4 & F(pd & store_9))) & GFcharger_3;['warehouse_3', 'p_crate_4', 'pd', 'store_9', 'charger_3'];Ensure you repeatedly transport p_crate_4 from warehouse_3 to store_9, and also periodically visit charger_3;{'warehouse 3': 'warehouse_3', 'crate 4': 'p_crate_4', 'pd': 'pd', 'store 9': 'store_9', 'charger 3': 'charger_3'};{'warehouse_3': 'ap_0', 'p_crate_4': 'ap_1', 'pd': 'ap_2', 'store_9': 'ap_3', 'charger_3': 'ap_4'};GF(ap_0 & F(ap_1 & F(ap_2 & ap_3))) & GFap_4
Ensure you repeatedly move crate 4 from warehouse 3 to store 9, and also periodically revisit charger 3;[]<>(warehouse_3&&<>(p_crate_4&&<>(store_9&&pd)))&&[]<>charger_3;GF(warehouse_3 & F(p_crate_4 & F(pd & store_9))) & GFcharger_3;['warehouse_3', 'p_crate_4', 'pd', 'store_9', 'charger_3'];Ensure you repeatedly move p_crate_4 from warehouse_3 to store_9, and also periodically revisit charger_3;{'warehouse 3': 'warehouse_3', 'crate 4': 'p_crate_4', 'pd': 'pd', 'store 9': 'store_9', 'charger 3': 'charger_3'};{'warehouse_3': 'ap_0', 'p_crate_4': 'ap_1', 'pd': 'ap_2', 'store_9': 'ap_3', 'charger_3': 'ap_4'};GF(ap_0 & F(ap_1 & F(ap_2 & ap_3))) & GFap_4
Persistently take crate 4 from warehouse 3 to store 9 while consistently visiting charger 3;[]<>(warehouse_3&&<>(p_crate_4&&<>(store_9&&pd)))&&[]<>charger_3;GF(warehouse_3 & F(p_crate_4 & F(pd & store_9))) & GFcharger_3;['warehouse_3', 'p_crate_4', 'pd', 'store_9', 'charger_3'];Persistently take p_crate_4 from warehouse_3 to store_9 while consistently visiting charger_3;{'warehouse 3': 'warehouse_3', 'crate 4': 'p_crate_4', 'pd': 'pd', 'store 9': 'store_9', 'charger 3': 'charger_3'};{'warehouse_3': 'ap_0', 'p_crate_4': 'ap_1', 'pd': 'ap_2', 'store_9': 'ap_3', 'charger_3': 'ap_4'};GF(ap_0 & F(ap_1 & F(ap_2 & ap_3))) & GFap_4
Keep transferring crate 4 from warehouse 3 to store 9 while periodically returning to charger 3;[]<>(warehouse_3&&<>(p_crate_4&&<>(store_9&&pd)))&&[]<>charger_3;GF(warehouse_3 & F(p_crate_4 & F(pd & store_9))) & GFcharger_3;['warehouse_3', 'p_crate_4', 'pd', 'store_9', 'charger_3'];Keep transferring p_crate_4 from warehouse_3 to store_9 while periodically returning to charger_3;{'warehouse 3': 'warehouse_3', 'crate 4': 'p_crate_4', 'pd': 'pd', 'store 9': 'store_9', 'charger 3': 'charger_3'};{'warehouse_3': 'ap_0', 'p_crate_4': 'ap_1', 'pd': 'ap_2', 'store_9': 'ap_3', 'charger_3': 'ap_4'};GF(ap_0 & F(ap_1 & F(ap_2 & ap_3))) & GFap_4
Keep returning to charger 3 as you repeatedly take photos of area 3;[]<>charger_3&&[]<>(area_3&&photo);GFcharger_3 & GF(area_3 & photo);['charger_3', 'area_3', 'photo'];Keep returning to charger_3 as you repeatedly take photos of area_3;{'charger 3': 'charger_3', 'area 3': 'area_3', 'photo': 'photo'};{'charger_3': 'ap_0', 'area_3': 'ap_1', 'photo': 'ap_2'};GFap_0 & GF(ap_1 & ap_2)
Repeatedly visit charger 3 while repeatedly taking pictures of area 3;[]<>charger_3&&[]<>(area_3&&photo);GFcharger_3 & GF(area_3 & photo);['charger_3', 'area_3', 'photo'];Repeatedly visit charger_3 while repeatedly taking pictures of area_3;{'charger 3': 'charger_3', 'area 3': 'area_3', 'photo': 'photo'};{'charger_3': 'ap_0', 'area_3': 'ap_1', 'photo': 'ap_2'};GFap_0 & GF(ap_1 & ap_2)
Persistently return to charger 3 as you consistently photograph area 3;[]<>charger_3&&[]<>(area_3&&photo);GFcharger_3 & GF(area_3 & photo);['charger_3', 'area_3', 'photo'];Persistently return to charger_3 as you consistently photograph area_3;{'charger 3': 'charger_3', 'area 3': 'area_3', 'photo': 'photo'};{'charger_3': 'ap_0', 'area_3': 'ap_1', 'photo': 'ap_2'};GFap_0 & GF(ap_1 & ap_2)
Keep returning to charger 3 as you periodically take photos of area 3;[]<>charger_3&&[]<>(area_3&&photo);GFcharger_3 & GF(area_3 & photo);['charger_3', 'area_3', 'photo'];Keep returning to charger_3 as you periodically take photos of area_3;{'charger 3': 'charger_3', 'area 3': 'area_3', 'photo': 'photo'};{'charger_3': 'ap_0', 'area_3': 'ap_1', 'photo': 'ap_2'};GFap_0 & GF(ap_1 & ap_2)
Visit mall 5, pick up box 4, and deliver it to house 1;<>(mall_5&&<>(p_box_4&&<>(house_1&&pd)));F(mall_5 & F(p_box_4 & F(house_1 & pd)));['pd', 'house_1', 'mall_5', 'p_box_4'];Visit mall_5, pick up p_box_4, and deliver it to house_1;{'pd': 'pd', 'house 1': 'house_1', 'mall 5': 'mall_5', 'box 4': 'p_box_4'};{'pd': 'ap_0', 'house_1': 'ap_1', 'mall_5': 'ap_2', 'p_box_4': 'ap_3'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Ensure you go to mall 5, retrieve box 4, and then transport it to house 1;<>(mall_5&&<>(p_box_4&&<>(house_1&&pd)));F(mall_5 & F(p_box_4 & F(house_1 & pd)));['pd', 'house_1', 'mall_5', 'p_box_4'];Ensure you go to mall_5, retrieve p_box_4, and then transport it to house_1;{'pd': 'pd', 'house 1': 'house_1', 'mall 5': 'mall_5', 'box 4': 'p_box_4'};{'pd': 'ap_0', 'house_1': 'ap_1', 'mall_5': 'ap_2', 'p_box_4': 'ap_3'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Go to mall 5, collect box 4, and subsequently take it to house 1;<>(mall_5&&<>(p_box_4&&<>(house_1&&pd)));F(mall_5 & F(p_box_4 & F(house_1 & pd)));['pd', 'house_1', 'mall_5', 'p_box_4'];Go to mall_5, collect p_box_4, and subsequently take it to house_1;{'pd': 'pd', 'house 1': 'house_1', 'mall 5': 'mall_5', 'box 4': 'p_box_4'};{'pd': 'ap_0', 'house_1': 'ap_1', 'mall_5': 'ap_2', 'p_box_4': 'ap_3'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Start by visiting mall 5 to pick up box 4, and then move it to house 1;<>(mall_5&&<>(p_box_4&&<>(house_1&&pd)));F(mall_5 & F(p_box_4 & F(house_1 & pd)));['pd', 'house_1', 'mall_5', 'p_box_4'];Start by visiting mall_5 to pick up p_box_4, and then move it to house_1;{'pd': 'pd', 'house 1': 'house_1', 'mall 5': 'mall_5', 'box 4': 'p_box_4'};{'pd': 'ap_0', 'house_1': 'ap_1', 'mall_5': 'ap_2', 'p_box_4': 'ap_3'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Do not go into park 5 before reaching intersection 5, and ensure to capture a picture of monument 3;!park_5 U intersection_5&&<>(monument_3&&photo);(!park_5 U intersection_5) & F(monument_3 & photo);['photo', 'park_5', 'monument_3', 'intersection_5'];Do not go into park_5 before reaching intersection_5, and ensure to capture a picture of monument_3;{'photo': 'photo', 'park 5': 'park_5', 'monument 3': 'monument_3', 'intersection 5': 'intersection_5'};{'photo': 'ap_0', 'park_5': 'ap_1', 'monument_3': 'ap_2', 'intersection_5': 'ap_3'};(!ap_1 U ap_3) & F(ap_2 & ap_0)
Do not go into park 5 before reaching intersection 5, and ensure you capture a photo of monument 3;!park_5 U intersection_5&&<>(monument_3&&photo);(!park_5 U intersection_5) & F(monument_3 & photo);['photo', 'park_5', 'monument_3', 'intersection_5'];Do not go into park_5 before reaching intersection_5, and ensure you capture a photo of monument_3;{'photo': 'photo', 'park 5': 'park_5', 'monument 3': 'monument_3', 'intersection 5': 'intersection_5'};{'photo': 'ap_0', 'park_5': 'ap_1', 'monument_3': 'ap_2', 'intersection_5': 'ap_3'};(!ap_1 U ap_3) & F(ap_2 & ap_0)
Stay away from park 5 until you arrive at intersection 5, and afterward, take a picture of monument 3;!park_5 U intersection_5&&<>(monument_3&&photo);(!park_5 U intersection_5) & F(monument_3 & photo);['photo', 'park_5', 'monument_3', 'intersection_5'];Stay away from park_5 until you arrive at intersection_5, and afterward, take a picture of monument_3;{'photo': 'photo', 'park 5': 'park_5', 'monument 3': 'monument_3', 'intersection 5': 'intersection_5'};{'photo': 'ap_0', 'park_5': 'ap_1', 'monument_3': 'ap_2', 'intersection_5': 'ap_3'};(!ap_1 U ap_3) & F(ap_2 & ap_0)
Avoid going to park 5 until you reach intersection 5 as you take a photo of monument 3;!park_5 U intersection_5&&<>(monument_3&&photo);(!park_5 U intersection_5) & F(monument_3 & photo);['photo', 'park_5', 'monument_3', 'intersection_5'];Avoid going to park_5 until you reach intersection_5 as you take a photo of monument_3;{'photo': 'photo', 'park 5': 'park_5', 'monument 3': 'monument_3', 'intersection 5': 'intersection_5'};{'photo': 'ap_0', 'park_5': 'ap_1', 'monument_3': 'ap_2', 'intersection_5': 'ap_3'};(!ap_1 U ap_3) & F(ap_2 & ap_0)
Remove traffic cone 5 from street 4 and place it in intersection 6;<>(street_4&&<>(p_traffic_cone_5&&<>(intersection_6&&pd)));F(street_4 & F(p_traffic_cone_5 & F(intersection_6 & pd)));['pd', 'street_4', 'p_traffic_cone_5', 'intersection_6'];Remove p_traffic_cone_5 from street_4 and place it in intersection_6;{'pd': 'pd', 'street 4': 'street_4', 'traffic cone 5': 'p_traffic_cone_5', 'intersection 6': 'intersection_6'};{'pd': 'ap_0', 'street_4': 'ap_1', 'p_traffic_cone_5': 'ap_2', 'intersection_6': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Retrieve traffic cone 5 from street 4 and transport it to intersection 6;<>(street_4&&<>(p_traffic_cone_5&&<>(intersection_6&&pd)));F(street_4 & F(p_traffic_cone_5 & F(intersection_6 & pd)));['pd', 'street_4', 'p_traffic_cone_5', 'intersection_6'];Retrieve p_traffic_cone_5 from street_4 and transport it to intersection_6;{'pd': 'pd', 'street 4': 'street_4', 'traffic cone 5': 'p_traffic_cone_5', 'intersection 6': 'intersection_6'};{'pd': 'ap_0', 'street_4': 'ap_1', 'p_traffic_cone_5': 'ap_2', 'intersection_6': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Ensure you take traffic cone 5 from street 4 and then move it to intersection 6;<>(street_4&&<>(p_traffic_cone_5&&<>(intersection_6&&pd)));F(street_4 & F(p_traffic_cone_5 & F(intersection_6 & pd)));['pd', 'street_4', 'p_traffic_cone_5', 'intersection_6'];Ensure you take p_traffic_cone_5 from street_4 and then move it to intersection_6;{'pd': 'pd', 'street 4': 'street_4', 'traffic cone 5': 'p_traffic_cone_5', 'intersection 6': 'intersection_6'};{'pd': 'ap_0', 'street_4': 'ap_1', 'p_traffic_cone_5': 'ap_2', 'intersection_6': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Pick up traffic cone 5 from street 4 and subsequently place it in intersection 6;<>(street_4&&<>(p_traffic_cone_5&&<>(intersection_6&&pd)));F(street_4 & F(p_traffic_cone_5 & F(intersection_6 & pd)));['pd', 'street_4', 'p_traffic_cone_5', 'intersection_6'];Pick up p_traffic_cone_5 from street_4 and subsequently place it in intersection_6;{'pd': 'pd', 'street 4': 'street_4', 'traffic cone 5': 'p_traffic_cone_5', 'intersection 6': 'intersection_6'};{'pd': 'ap_0', 'street_4': 'ap_1', 'p_traffic_cone_5': 'ap_2', 'intersection_6': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Avoid entering parking lot 4 until you have reached building 8;!parking_lot_4 U building_8;!parking_lot_4 U building_8;['building_8', 'parking_lot_4'];Avoid entering parking_lot_4 until you have reached building_8;{'building 8': 'building_8', 'parking lot 4': 'parking_lot_4'};{'building_8': 'ap_0', 'parking_lot_4': 'ap_1'};!ap_1 U ap_0
Do not go to parking lot 4 before arriving at building 8;!parking_lot_4 U building_8;!parking_lot_4 U building_8;['building_8', 'parking_lot_4'];Do not go to parking_lot_4 before arriving at building_8;{'building 8': 'building_8', 'parking lot 4': 'parking_lot_4'};{'building_8': 'ap_0', 'parking_lot_4': 'ap_1'};!ap_1 U ap_0
Refrain from visiting parking lot 4 until you get to building 8;!parking_lot_4 U building_8;!parking_lot_4 U building_8;['building_8', 'parking_lot_4'];Refrain from visiting parking_lot_4 until you get to building_8;{'building 8': 'building_8', 'parking lot 4': 'parking_lot_4'};{'building_8': 'ap_0', 'parking_lot_4': 'ap_1'};!ap_1 U ap_0
Stay away from parking lot 4 until building 8 is reached;!parking_lot_4 U building_8;!parking_lot_4 U building_8;['building_8', 'parking_lot_4'];Stay away from parking_lot_4 until building_8 is reached;{'building 8': 'building_8', 'parking lot 4': 'parking_lot_4'};{'building_8': 'ap_0', 'parking_lot_4': 'ap_1'};!ap_1 U ap_0
Avoid entering room 4 until you have reached building 4;!room_4 U building_4;!room_4 U building_4;['building_4', 'room_4'];Avoid entering room_4 until you have reached building_4;{'building 4': 'building_4', 'room 4': 'room_4'};{'building_4': 'ap_0', 'room_4': 'ap_1'};!ap_1 U ap_0
Refrain from going to room 4 before you arrive at building 4;!room_4 U building_4;!room_4 U building_4;['building_4', 'room_4'];Refrain from going to room_4 before you arrive at building_4;{'building 4': 'building_4', 'room 4': 'room_4'};{'building_4': 'ap_0', 'room_4': 'ap_1'};!ap_1 U ap_0
Stay away from room 4 until you reach building 4;!room_4 U building_4;!room_4 U building_4;['building_4', 'room_4'];Stay away from room_4 until you reach building_4;{'building 4': 'building_4', 'room 4': 'room_4'};{'building_4': 'ap_0', 'room_4': 'ap_1'};!ap_1 U ap_0
Do not visit room 4 until building 4 is reached;!room_4 U building_4;!room_4 U building_4;['building_4', 'room_4'];Do not visit room_4 until building_4 is reached;{'building 4': 'building_4', 'room 4': 'room_4'};{'building_4': 'ap_0', 'room_4': 'ap_1'};!ap_1 U ap_0
Continuously revisit intersection 4 while ensuring you eventually go to locality 9;[]<>intersection_4&&<>locality_9;GFintersection_4 & Flocality_9;['intersection_4', 'locality_9'];Continuously revisit intersection_4 while ensuring you eventually go to locality_9;{'intersection 4': 'intersection_4', 'locality 9': 'locality_9'};{'intersection_4': 'ap_0', 'locality_9': 'ap_1'};GFap_0 & Fap_1
Keep visiting intersection 4 as you proceed to locality 9;[]<>intersection_4&&<>locality_9;GFintersection_4 & Flocality_9;['intersection_4', 'locality_9'];Keep visiting intersection_4 as you proceed to locality_9;{'intersection 4': 'intersection_4', 'locality 9': 'locality_9'};{'intersection_4': 'ap_0', 'locality_9': 'ap_1'};GFap_0 & Fap_1
Ensure you repeatedly return to intersection 4 while eventually reaching locality 9;[]<>intersection_4&&<>locality_9;GFintersection_4 & Flocality_9;['intersection_4', 'locality_9'];Ensure you repeatedly return to intersection_4 while eventually reaching locality_9;{'intersection 4': 'intersection_4', 'locality 9': 'locality_9'};{'intersection_4': 'ap_0', 'locality_9': 'ap_1'};GFap_0 & Fap_1
Persistently visit intersection 4 and make sure you go to locality 9 at some point;[]<>intersection_4&&<>locality_9;GFintersection_4 & Flocality_9;['intersection_4', 'locality_9'];Persistently visit intersection_4 and make sure you go to locality_9 at some point;{'intersection 4': 'intersection_4', 'locality 9': 'locality_9'};{'intersection_4': 'ap_0', 'locality_9': 'ap_1'};GFap_0 & Fap_1
Always avoid going to building 2 while ensuring you pick up letter 5 from office 6;[]!building_2&&<>(office_6&&p_letter_5);G!building_2 & F(office_6 & p_letter_5);['office_6', 'building_2', 'p_letter_5'];Always avoid going to building_2 while ensuring you pick up p_letter_5 from office_6;{'office 6': 'office_6', 'building 2': 'building_2', 'letter 5': 'p_letter_5'};{'office_6': 'ap_0', 'building_2': 'ap_1', 'p_letter_5': 'ap_2'};G!ap_1 & F(ap_0 & ap_2)
Always refrain from entering building 2 as you collect letter 5 from office 6;[]!building_2&&<>(office_6&&p_letter_5);G!building_2 & F(office_6 & p_letter_5);['office_6', 'building_2', 'p_letter_5'];Always refrain from entering building_2 as you collect p_letter_5 from office_6;{'office 6': 'office_6', 'building 2': 'building_2', 'letter 5': 'p_letter_5'};{'office_6': 'ap_0', 'building_2': 'ap_1', 'p_letter_5': 'ap_2'};G!ap_1 & F(ap_0 & ap_2)
Do not visit building 2 while making sure to retrieve letter 5 from office 6;[]!building_2&&<>(office_6&&p_letter_5);G!building_2 & F(office_6 & p_letter_5);['office_6', 'building_2', 'p_letter_5'];Do not visit building_2 while making sure to retrieve p_letter_5 from office_6;{'office 6': 'office_6', 'building 2': 'building_2', 'letter 5': 'p_letter_5'};{'office_6': 'ap_0', 'building_2': 'ap_1', 'p_letter_5': 'ap_2'};G!ap_1 & F(ap_0 & ap_2)
Never approach building 2 while ensuring you retrieve letter 5 from office 6;[]!building_2&&<>(office_6&&p_letter_5);G!building_2 & F(office_6 & p_letter_5);['office_6', 'building_2', 'p_letter_5'];Never approach building_2 while ensuring you retrieve p_letter_5 from office_6;{'office 6': 'office_6', 'building 2': 'building_2', 'letter 5': 'p_letter_5'};{'office_6': 'ap_0', 'building_2': 'ap_1', 'p_letter_5': 'ap_2'};G!ap_1 & F(ap_0 & ap_2)
Always avoid touching letter 8;[]!p_letter_8;G!p_letter_8;['p_letter_8'];Always avoid touching p_letter_8;{'letter 8': 'p_letter_8'};{'p_letter_8': 'ap_0'};G!ap_0
Ensure that you never interact with letter 8;[]!p_letter_8;G!p_letter_8;['p_letter_8'];Ensure that you never interact with p_letter_8;{'letter 8': 'p_letter_8'};{'p_letter_8': 'ap_0'};G!ap_0
Refrain from handling letter 8 at all times;[]!p_letter_8;G!p_letter_8;['p_letter_8'];Refrain from handling p_letter_8 at all times;{'letter 8': 'p_letter_8'};{'p_letter_8': 'ap_0'};G!ap_0
Do not touch letter 8 under any circumstances;[]!p_letter_8;G!p_letter_8;['p_letter_8'];Do not touch p_letter_8 under any circumstances;{'letter 8': 'p_letter_8'};{'p_letter_8': 'ap_0'};G!ap_0
Avoid going to building 3 until you reach street 6, and then transport box 8 from store 3 to house 2;!building_3 U street_6&&<>(store_3&&<>(p_box_8&&<>(house_2&&pd)));(!building_3 U street_6) & F(store_3 & F(p_box_8 & F(house_2 & pd)));['pd', 'street_6', 'house_2', 'building_3', 'store_3', 'p_box_8'];Avoid going to building_3 until you reach street_6, and then transport p_box_8 from store_3 to house_2;{'pd': 'pd', 'street 6': 'street_6', 'house 2': 'house_2', 'building 3': 'building_3', 'store 3': 'store_3', 'box 8': 'p_box_8'};{'pd': 'ap_0', 'street_6': 'ap_1', 'house_2': 'ap_2', 'building_3': 'ap_3', 'store_3': 'ap_4', 'p_box_8': 'ap_5'};(!ap_3 U ap_1) & F(ap_4 & F(ap_5 & F(ap_2 & ap_0)))
Do not enter building 3 before arriving at street 6, while ensuring you take box 8 from store 3 to house 2;!building_3 U street_6&&<>(store_3&&<>(p_box_8&&<>(house_2&&pd)));(!building_3 U street_6) & F(store_3 & F(p_box_8 & F(house_2 & pd)));['pd', 'street_6', 'house_2', 'building_3', 'store_3', 'p_box_8'];Do not enter building_3 before arriving at street_6, while ensuring you take p_box_8 from store_3 to house_2;{'pd': 'pd', 'street 6': 'street_6', 'house 2': 'house_2', 'building 3': 'building_3', 'store 3': 'store_3', 'box 8': 'p_box_8'};{'pd': 'ap_0', 'street_6': 'ap_1', 'house_2': 'ap_2', 'building_3': 'ap_3', 'store_3': 'ap_4', 'p_box_8': 'ap_5'};(!ap_3 U ap_1) & F(ap_4 & F(ap_5 & F(ap_2 & ap_0)))
Do not approach building 3 until you reach street 6 as you bring box 8 from store 3 to house 2;!building_3 U street_6&&<>(store_3&&<>(p_box_8&&<>(house_2&&pd)));(!building_3 U street_6) & F(store_3 & F(p_box_8 & F(house_2 & pd)));['pd', 'street_6', 'house_2', 'building_3', 'store_3', 'p_box_8'];Do not approach building_3 until you reach street_6 as you bring p_box_8 from store_3 to house_2;{'pd': 'pd', 'street 6': 'street_6', 'house 2': 'house_2', 'building 3': 'building_3', 'store 3': 'store_3', 'box 8': 'p_box_8'};{'pd': 'ap_0', 'street_6': 'ap_1', 'house_2': 'ap_2', 'building_3': 'ap_3', 'store_3': 'ap_4', 'p_box_8': 'ap_5'};(!ap_3 U ap_1) & F(ap_4 & F(ap_5 & F(ap_2 & ap_0)))
Refrain from visiting building 3 until you arrive at street 6, and then ensure you move box 8 from store 3 to house 2;!building_3 U street_6&&<>(store_3&&<>(p_box_8&&<>(house_2&&pd)));(!building_3 U street_6) & F(store_3 & F(p_box_8 & F(house_2 & pd)));['pd', 'street_6', 'house_2', 'building_3', 'store_3', 'p_box_8'];Refrain from visiting building_3 until you arrive at street_6, and then ensure you move p_box_8 from store_3 to house_2;{'pd': 'pd', 'street 6': 'street_6', 'house 2': 'house_2', 'building 3': 'building_3', 'store 3': 'store_3', 'box 8': 'p_box_8'};{'pd': 'ap_0', 'street_6': 'ap_1', 'house_2': 'ap_2', 'building_3': 'ap_3', 'store_3': 'ap_4', 'p_box_8': 'ap_5'};(!ap_3 U ap_1) & F(ap_4 & F(ap_5 & F(ap_2 & ap_0)))
Remain in area 5 until you take package 8 from store 2 and deliver it to house 9;area_5 U (store_2&&<>(p_package_8&&<>(house_9&&pd)));area_5 U (store_2 & F(p_package_8 & F(house_9 & pd)));['pd', 'area_5', 'store_2', 'p_package_8', 'house_9'];Remain in area_5 until you take p_package_8 from store_2 and deliver it to house_9;{'pd': 'pd', 'area 5': 'area_5', 'store 2': 'store_2', 'package 8': 'p_package_8', 'house 9': 'house_9'};{'pd': 'ap_0', 'area_5': 'ap_1', 'store_2': 'ap_2', 'p_package_8': 'ap_3', 'house_9': 'ap_4'};ap_1 U (ap_2 & F(ap_3 & F(ap_4 & ap_0)))
Stay within area 5 until you collect package 8 from store 2 and transport it to house 9;area_5 U (store_2&&<>(p_package_8&&<>(house_9&&pd)));area_5 U (store_2 & F(p_package_8 & F(house_9 & pd)));['pd', 'area_5', 'store_2', 'p_package_8', 'house_9'];Stay within area_5 until you collect p_package_8 from store_2 and transport it to house_9;{'pd': 'pd', 'area 5': 'area_5', 'store 2': 'store_2', 'package 8': 'p_package_8', 'house 9': 'house_9'};{'pd': 'ap_0', 'area_5': 'ap_1', 'store_2': 'ap_2', 'p_package_8': 'ap_3', 'house_9': 'ap_4'};ap_1 U (ap_2 & F(ap_3 & F(ap_4 & ap_0)))
Stay in area 5 before picking up package 8 from store 2 and moving it to house 9;area_5 U (store_2&&<>(p_package_8&&<>(house_9&&pd)));area_5 U (store_2 & F(p_package_8 & F(house_9 & pd)));['pd', 'area_5', 'store_2', 'p_package_8', 'house_9'];Stay in area_5 before picking up p_package_8 from store_2 and moving it to house_9;{'pd': 'pd', 'area 5': 'area_5', 'store 2': 'store_2', 'package 8': 'p_package_8', 'house 9': 'house_9'};{'pd': 'ap_0', 'area_5': 'ap_1', 'store_2': 'ap_2', 'p_package_8': 'ap_3', 'house_9': 'ap_4'};ap_1 U (ap_2 & F(ap_3 & F(ap_4 & ap_0)))
Continue staying in area 5 until you retrieve package 8 from store 2 and deliver it to house 9;area_5 U (store_2&&<>(p_package_8&&<>(house_9&&pd)));area_5 U (store_2 & F(p_package_8 & F(house_9 & pd)));['pd', 'area_5', 'store_2', 'p_package_8', 'house_9'];Continue staying in area_5 until you retrieve p_package_8 from store_2 and deliver it to house_9;{'pd': 'pd', 'area 5': 'area_5', 'store 2': 'store_2', 'package 8': 'p_package_8', 'house 9': 'house_9'};{'pd': 'ap_0', 'area_5': 'ap_1', 'store_2': 'ap_2', 'p_package_8': 'ap_3', 'house_9': 'ap_4'};ap_1 U (ap_2 & F(ap_3 & F(ap_4 & ap_0)))
Ensure you eventually go to street 2 and remain there permanently;<>[]street_2;FGstreet_2;['street_2'];Ensure you eventually go to street_2 and remain there permanently;{'street 2': 'street_2'};{'street_2': 'ap_0'};FGap_0
Visit street 2 at some point and continue staying there;<>[]street_2;FGstreet_2;['street_2'];Visit street_2 at some point and continue staying there;{'street 2': 'street_2'};{'street_2': 'ap_0'};FGap_0
